region,fio,pol,born,info,deputat,party,place,okrug,n_okrug,year,status,comment,vydvinut
Брестская область,Кучинский Виктор Францевич,м,1958,"КУЧИНСКИЙ Виктор Францевич, 1958 г.р., юрист, менеджер-экономист, историк, преподаватель истории и социально-политических дисциплин, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Кобринский № 11,11,2004,1,,
Брестская область,Андреев Юрий Иванович,м,1954,"АНДРЕЕВ Юрий Иванович, 1954 г.р., офицер по управлению боевыми действиями, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Пинский городской № 14,14,2004,1,,
Витебская область,Семашко Сергей Александрович,м,1960,"СЕМАШКО Сергей Александрович, 1960 г.р., инженер путей сообщения-строитель, депутат Палаты представителей Национального собрания Республики Беларусь, г.Витебск, беспартийный",1,None,г.Витебск,Витебский-Железнодорожный № 18,18,2004,1,,
Витебская область,Иванов Глеб Анатольевич,м,1963,"ИВАНОВ Глеб Анатольевич, 1963 г.р., инженер, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Витебск, беспартийный",1,None,г.Витебск,Витебский-Октябрьский № 19,19,2004,1,,
Витебская область,Гудков Александр Борисович,м,1957,"ГУДКОВ Александр Борисович, 1957 г.р., инженер, депутат Палаты представителей Национального собрания Республики Беларусь, г.Витебск, беспартийный",1,None,г.Витебск,Витебский-Чкаловский № 20,20,2004,1,,
Витебская область,Хрол Василий Петрович,м,1957,"ХРОЛ Василий Петрович, 1957 г.р., инженер-конструктор-технолог, юрист, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Глубокский № 22,22,2004,1,,
Витебская область,Жвиков Владимир Владимирович,м,1950,"ЖВИКОВ Владимир Владимирович, 1950 г.р., инженер, депутат Палаты представителей Национального собрания Республики Беларусь, г.Орша, беспартийный",1,None,г.Орша,Оршанский-Днепровский № 27,27,2004,1,,
Витебская область,Исаев Владимир Михайлович,м,1954,"ИСАЕВ Владимир Михайлович, 1954 г.р., врач, депутат Палаты представителей Национального собрания Республики Беларусь , г.Полоцк, беспартийный",1,None,г.Полоцк,Полоцкий городской № 28,28,2004,1,,
Витебская область,Сосонко Михаил Павлович,м,1953,"СОСОНКО Михаил Павлович, 1953 г.р., инженер-электрик, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Полоцкий сельский № 29,29,2004,1,,
Витебская область,Лекторов Валерий Николаевич,м,1947,"ЛЕКТОРОВ Валерий Николаевич, 1947 г.р., врач-хирург, депутат Палаты представителей Национального собрания Республики Беларусь, г.Витебск, беспартийный",1,None,г.Витебск,Шумилинский № 32,32,2004,1,,
Гомельская область,Астапченко Юрий Леонидович,м,1945,"АСТАПЧЕНКО Юрий Леонидович, 1945 г.р., экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Гомельский-Сельмашевский № 34,34,2004,1,,
Гомельская область,Соловьев Анатолий Михайлович,м,1954,"СОЛОВЬЕВ Анатолий Михайлович, 1954 г.р., юрист-правовед, депутат Палаты представителей Национального собрания Республики Беларусь, г. Гомель, , беспартийный",1,None,г. Гомель,Гомельский сельский № 39,39,2004,1,,
Гомельская область,Костян Сергей Иванович,м,1941,"КОСТЯН Сергей Иванович, 1941 г.р., преподаватель истории, депутат Палаты представителей Национального собрания Республики Беларусь, г. Мозырь, член КПБ",1,КПБ,г. Мозырь,Полесский № 45,45,2004,1,,
Гомельская область,Куцко Николай Васильевич,м,1954,"КУЦКО Николай Васильевич, 1954 г.р., инженер-механик, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Речица, член Аграрной партии",1,Аграрная партия,г. Речица,Речицкий № 46,46,2004,1,,
Гомельская область,Поплавский Михаил Иванович,м,1946,"ПОПЛАВСКИЙ Михаил Иванович, 1946 г.р., инженер-механик, депутат Палаты представителей Национального собрания Республики Беларусь, г. Рогачев, беспартийный",1,None,г. Рогачев,Рогачевский № 47,47,2004,1,,
Гомельская область,Кулик Виталий Васильевич,м,1958,"КУЛИК Виталий Васильевич, 1958 г.р., инженер-электрик, экономист-менеджер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Речица, член Аграрной партии",1,Аграрная партия,г. Речица,Хойникский № 49,49,2004,1,,
Гродненская область,Каменецкий Сергей Владимирович,м,1961,"КАМЕНЕЦКИЙ Сергей Владимирович, 1961 г.р., инженер по эксплуатации гусеничных и колесных машин, экономист-международник, депутат Палаты представителей Национального собрания Республики Беларусь, г.Гродно, беспартийный",1,None,г.Гродно,Гродненский - Занеманский № 51,51,2004,1,,
Гродненская область,Бурова Анна Николаевна,ж,1951,"БУРОВА Анна Николаевна, 1951 г.р., химик, преподаватель химии, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийная",1,None,г. Минск,Гродненский - Северный № 53,53,2004,1,,
Гродненская область,Орда Михаил Сергеевич,м,1966,"ОРДА Михаил Сергеевич, 1966 г.р., ветеринарный врач, депутат Палаты представителей Национального собрания Республики Беларусь, первый секретарь Центрального комитета общественного объединения ""Белорусский республиканский союз молодежи"", г. Минск, беспартийный",1,None,г. Минск,Лидский - сельский № 57,57,2004,1,,
Гродненская область,Голубева Татьяна Геннадьевна,ж,1947,"ГОЛУБЕВА Татьяна Геннадьевна, 1947 г.р., инженер-химик-технолог, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, член КПБ",1,КПБ,г. Минск,Сморгонский № 61,61,2004,1,,
Могилевская область,Попов Вадим Александрович,м,1940,"ПОПОВ Вадим Александрович, 1940 г.р., инженер-механик, Председатель Палаты представителей Национального собрания РБ, г. Минск, беспартийный",1,None,г. Минск,Кличевский № 68,68,2004,1,,
Могилевская область,Симирский Валентин Романович,м,1946,"СИМИРСКИЙ Валентин Романович, 1946 г.р., преподаватель, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Костюковичский № 69,69,2004,1,,
Могилевская область,Архипов Александр Михайлович,м,1959,"АРХИПОВ Александр Михайлович, 1959 г.р., юрист, депутат Палаты представителей Национального собрания РБ., г. Минск, беспартийный",1,None,г. Минск,Могилевский - Ленинский № 71,71,2004,1,,
Могилевская область,Авдеева Наталья Петровна,ж,1957,"АВДЕЕВА Наталья Петровна, 1957 г. р., учитель, режиссер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, член КПБ",1,КПБ,г. Минск,Могилевский - Центральный № 72,72,2004,1,,
Могилевская область,Коноплев Владимир Николаевич,м,1954,"КОНОПЛЕВ Владимир Николаевич, 1954 г.р., учитель, заместитель Председателя Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Шкловский № 75,75,2004,1,,
Минская область,Гуминский Виктор Александрович,м,1955,"ГУМИНСКИЙ Виктор Александрович, 1955 г.р., военнослужащий, экономист-менеджер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Борисов, беспартийный",1,None,г. Борисов,Борисовский городской № 77,77,2004,1,,
Минская область,Семененя Иван Георгиевич,м,1956,"СЕМЕНЕНЯ Иван Георгиевич, 1956 г.р., юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Любань, беспартийный",1,None,г. Любань,Любанский № 83,83,2004,1,,
Минская область,Делендик Владимир Викторович,м,1952,"ДЕЛЕНДИК Владимир Викторович, 1952 г.р., экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Минский сельский № 84,84,2004,1,,
Минская область,Худая Мария Николаевна,ж,1940,"ХУДАЯ Мария Николаевна, 1940 г.р., бухгалтер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, член КПБ",1,КПБ,г. Минск,Несвижский № 87,87,2004,1,,
Минская область,Котляров Игорь Васильевич,м,1948,"КОТЛЯРОВ Игорь Васильевич, 1948 г.р., инженер-механик, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, член КПБ",1,КПБ,г. Минск,Пуховичский № 88,88,2004,1,,
Минская область,Калугин Петр Алексеевич,м,1941,"КАЛУГИН Петр Алексеевич, 1941 г.р., горный инженер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Солигорск, беспартийный",1,None,г. Солигорск,Солигорский городской № 90,90,2004,1,,
